blue,green,red,ndwi,brightness,label,source_file
0.07650317,0.027879668,0.023397943,0.08739951,0.042593595,1,GSL_2002_12.tif
0.068930425,0.029028665,0.02236196,0.12972358,0.040107016,1,GSL_2002_12.tif
0.09948253,0.038297255,0.049729146,-0.12986742,0.06250298,1,GSL_2002_12.tif
0.13525721,0.08762759,0.10014692,-0.066671796,0.10767724,1,GSL_2002_12.tif
0.13303761,0.08854679,0.09807496,-0.051055767,0.106553115,1,GSL_2002_12.tif
0.07323906,0.030024465,0.025901565,0.07371927,0.043055028,1,GSL_2002_12.tif
0.07108474,0.024662472,0.023915933,0.015367395,0.039887715,1,GSL_2002_12.tif
0.09948253,0.045114648,0.061556604,-0.15413527,0.06871793,1,GSL_2002_12.tif
0.10966656,0.05767703,0.07536969,-0.13297983,0.080904424,1,GSL_2002_12.tif
0.1250079,0.0769802,0.096089326,-0.11041234,0.09935915,1,GSL_2002_12.tif
0.07611147,0.027956268,0.03289444,-0.08115092,0.04565406,1,GSL_2002_12.tif
0.077547684,0.02588807,0.035829723,-0.16107982,0.046421826,1,GSL_2002_12.tif
0.103856444,0.044118848,0.06457821,-0.18822199,0.07085117,1,GSL_2002_12.tif
0.10966656,0.06541362,0.078391306,-0.09024447,0.0844905,1,GSL_2002_12.tif
0.104182854,0.07123521,0.062333588,0.066643976,0.07925055,1,GSL_2002_12.tif
0.07219454,0.027956268,0.02477925,0.060243208,0.04164335,1,GSL_2002_12.tif
0.07826579,0.027956268,0.04187295,-0.1992931,0.049365003,1,GSL_2002_12.tif
0.10966656,0.06541362,0.09531234,-0.18602185,0.090130836,1,GSL_2002_12.tif
0.11750044,0.0844104,0.08590218,-0.008759006,0.09593767,1,GSL_2002_12.tif
0.1139752,0.0820358,0.078477636,0.022167267,0.09149621,1,GSL_2002_12.tif
0.122853585,0.09275979,0.09203173,0.0039398554,0.10254837,1,GSL_2002_12.tif
0.12579128,0.0809634,0.10195989,-0.1147824,0.102904856,1,GSL_2002_12.tif
0.11335501,0.07659721,0.06794516,0.05985779,0.08596579,1,GSL_2002_12.tif
0.100168,0.06296242,0.054002568,0.076602206,0.07237766,1,GSL_2002_12.tif
0.100168,0.06296242,0.054002568,0.076602206,0.07237766,1,GSL_2002_12.tif
0.08820924,0.28190854,0.36817133,-0.13269548,0.24609637,1,GSL_1992_03.tif
0.08820924,0.28190854,0.36817133,-0.13269548,0.24609637,1,GSL_1992_03.tif
0.089482084,0.2841028,0.3680491,-0.12872179,0.24721132,1,GSL_1992_03.tif
0.0999618,0.2962988,0.4513645,-0.20740016,0.2825417,1,GSL_1992_03.tif
0.09928295,0.2980338,0.44500735,-0.19779974,0.2807747,1,GSL_1992_03.tif
0.08820924,0.28593987,0.36383137,-0.11987508,0.2459935,1,GSL_1992_03.tif
0.08854867,0.28859338,0.364626,-0.11639657,0.247256,1,GSL_1992_03.tif
0.095125005,0.29721734,0.44256228,-0.19647034,0.27830154,1,GSL_1992_03.tif
0.09504015,0.3006873,0.44781917,-0.19656698,0.2811822,1,GSL_1992_03.tif
0.09809497,0.3006873,0.441462,-0.18968487,0.28008142,1,GSL_1992_03.tif
0.09219747,0.28859338,0.3657263,-0.11788243,0.24883904,1,GSL_1992_03.tif
0.087063685,0.28869545,0.3671322,-0.11959943,0.24763043,1,GSL_1992_03.tif
0.091900475,0.2863481,0.36841583,-0.12533922,0.24888813,1,GSL_1992_03.tif
0.09033064,0.28777692,0.3632201,-0.115888484,0.24710923,1,GSL_1992_03.tif
0.08540899,0.28456208,0.36676544,-0.12620875,0.24557883,1,GSL_1992_03.tif
0.091264054,0.28793,0.36896598,-0.12336176,0.24938668,1,GSL_1992_03.tif
0.08820924,0.2846131,0.3685381,-0.12849227,0.24712014,1,GSL_1992_03.tif
0.08757282,0.28645015,0.36859924,-0.12540881,0.24754073,1,GSL_1992_03.tif
0.08757282,0.28782794,0.36768234,-0.12182002,0.24769437,1,GSL_1992_03.tif
0.09385217,0.2962988,0.44549635,-0.2011301,0.2785491,1,GSL_1992_03.tif
0.091264054,0.28369457,0.3692716,-0.13105872,0.24807674,1,GSL_1992_03.tif
0.08608784,0.2842559,0.3643815,-0.12352891,0.2449084,1,GSL_1992_03.tif
0.08910023,0.28369457,0.36982176,-0.13179022,0.24753885,1,GSL_1992_03.tif
0.08600298,0.28793,0.3683547,-0.12254525,0.24742924,1,GSL_1992_03.tif
0.08388159,0.28308222,0.36609304,-0.127871,0.2443523,1,GSL_1992_03.tif
0.0019038448,0.0191752,0.009229256,0.35014203,0.010102767,1,GSL_2003_03.tif
0.0005202187,0.016424634,0.0085648205,0.3145126,0.008503224,1,GSL_2003_03.tif
0.0017654822,0.017656231,0.010336649,0.26147082,0.009919454,1,GSL_2003_03.tif
0.025451519,0.0,0.02916397,-0.9999657,0.018205164,1,GSL_2004_03.tif
0.025451519,0.0,0.02916397,-0.9999657,0.018205164,1,GSL_2004_03.tif
0.026403744,0.0,0.027599178,-0.99996376,0.018000973,1,GSL_2004_03.tif
0.026655803,0.0,0.028316375,-0.99996465,0.01832406,1,GSL_2004_03.tif
0.029036364,0.0005570898,0.029326968,-0.9626844,0.01964014,1,GSL_2004_03.tif
0.017833723,0.0,0.024632594,-0.9999594,0.014155439,1,GSL_2004_03.tif
0.018225815,0.0,0.024632594,-0.9999594,0.014286135,1,GSL_2004_03.tif
0.020018237,0.0,0.022546206,-0.99995565,0.014188148,1,GSL_2004_03.tif
